Post date,Post time,Type,Link,Description,Length of video,Views,Shares,Likes,WOW,Hearts,LOL,Sad,Mad,Comments,From,# Comment,Date of comment,Time of Comment,,
8-Jun,9:49 AM,Video,,Analyze This: Migration Integrating migrants into the labor force helps countries reap the economic benefits of a world on the move.,1:37,1000,17,47,,1,,,,"Muscat: A number of expatriate medical staff in Oman who have alleged that their severance packages have been cut or withheld are waiting for their embassy’s response to resolve their issues.

A senior official from the Philippine embassy said that they have forwarded the nurses claim to the Ministry of Foreign Affairs (MoFA) in Oman and the embassy will be meeting the nurses on coming Wednesday.

“We had received a letter from at least 40 nurses. The Philippines ambassador to Oman has forwarded the same to MoFA. We are waiting for their response. Meanwhile, we will be meeting the nurses too,” Nasser Mustafa, labour attaché at the Philippines Embassy in Oman, told the Times of Oman.

A few weeks ago, hundreds of Indian paramedical staff and medics had approached the Indian embassy with the same claim.

Read also / Gratuity row: Medics visit Indian embassy in Oman

According to the expat medical staff, a majority of them, who have joined services in Oman between 1985 and 1994 are being reportedly denied full service gratuity.

12-year gratuity payment

They have been told to take 12-year gratuity payment, even though they have worked for more than 25 years in Oman. This has left many in the lurch as banking on the eventual payment of gratuity money they had many plans, including paying off loans.

Talking to the Times of Oman earlier, Indra Mani Pandey, India’s ambassador to Oman, said: “The embassy has been working in close cooperation with the concerned authorities in Oman to address the grievances of Indian professionals and workers brought to the attention of the embassy.”

Many, who took loans from local banks hoping to get full service gratuity to meet family needs, are now struggling to repay them as banks have issued notices.

Meanwhile, speaking on the condition of anonymity, a nurse said she was denied full service gratuity initially but later found her name on the list of full entitlement.

“I was denied full service gratuity. I had 25 years of service, but was only given 12 years gratuity. I filed a case. However, after pursuing the matter further with the ministry, I found that I had signed a document, which enables me to be eligible for full service gratuity. Now, I have approached legal advisors on this issue too,” she added.

According to medical staff, up until June 2016, everyone who was told to retire or retired voluntarily was supposed to receive full service benefits.

However, the nurses claimed that those who were told to leave after June are not getting full service benefits in line with their years spent in service.

“In 1994, a government decision promised everyone full service benefits. Some of the hospital nurses had gotten it signed, but unfortunately many did not,” a nurse added.

Expat doctors who talked to the Times of Oman said they are confused as to what gratuity they will get. “Some are getting full and some are not. It is a worrisome situation. Many have had to leave with slashed gratuity,” one medic said.

Meanwhile, the Ministry of Health has declined to comment on the issue. Recently, the Times of Oman had reported that private sector employers are forcing expat to give up their end-of-service payments for to get a No Objection Certificate.",Hameed Kormat,2,8-Jun,10:20 AM,,
8-Jun,9:49 AM,Video,,Analyze This: Migration Integrating migrants into the labor force helps countries reap the economic benefits of a world on the move.,1:37,1000,17,47,,1,,,,Hmmm much said but words are easy,Maya Hatters,2,8-Jun,6:00 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,Feed the frighting of new york... they must see my as his worst nightmare ?? And please refund with a good strategy washington d.c. we are not barbars.,Xavier Ki Borde ,9,7-Jun,2:22 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,"Lower tax rates, wider base generates higher tax revenue which can used to create more public goods",Manjunath Bilagikar,9,8-Jun,3:10 AM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,Tax dodgers are mostly rich folks who don't want to help their communities but flaunt their lavish lifestyles on social media,Robert Oscar,9,7-Jun,1:10 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,No.,Diego Rabasco,9,7-Jun,12:55 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,:-),Xavier Ki Borde,9,7-Jun,2:22 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,Usual words,Maya Hatters,9,7-Jun,3:10 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,"New Testament Matthew 6:24 ?? ???? In the King James Version of the Bible the text reads: No man can serve two masters: for either he. will hate the one, and love the other; or else. he will hold to the one, and despise the other. Ye cannot serve God and mammon.",James H Hong ,9,7-Jun,6:10 PM,,
7-Jun,12:30 PM,Share,Photo,"Better tax systems boost revenues; they enable countries to invest more in schools, roads and hospitals. Yet in some countries resources needed sit on the sidelines, waiting to be activated. This is where the IMF helps: In 2016, we worked with more than 130 countries to generate higher revenues and we plan to intensify our efforts in developing countries going forward",,,18,72,,,,,,https://www.gobankingrates.com/.../10-best-tax-havens-world/,Rod Barker,9,7-Jun,2:50 PM,,
